,location,apm25_popweighted,hpm25_female_popweighted,hpm25_male_popweighted,hpm25_child_popweighted,mort_tpm25_6cod_mean_total,dalys_tpm25_rate_6cod_mean_total,mort_apm25_6cod_mean_total,dalys_apm25_rate_6cod_mean_total,mort_hpm25_6cod_mean_total,dalys_hpm25_rate_6cod_mean_total
0,Andaman and Nicobar,25.3,299.0,215.0,260.0,120.0,2628.0,35.0,731.0,85.0,1897.0
1,Andhra Pradesh,56.7,141.2,101.7,122.9,41272.0,2635.0,22747.0,1449.0,18526.0,1186.0
2,Arunachal Pradesh,16.1,170.6,122.8,148.4,1263.0,2425.0,292.0,506.0,970.0,1919.0
3,Assam,29.9,231.0,166.3,201.0,27297.0,2701.0,7670.0,724.0,19627.0,1977.0
4,Bihar,80.3,523.7,377.1,455.6,126569.0,3502.0,25946.0,752.0,100623.0,2750.0
5,Chhattisgarh,76.9,235.0,169.2,204.4,27206.0,3073.0,10640.0,1205.0,16566.0,1868.0
6,Dadra and Nagar Haveli,96.7,299.0,215.0,260.0,357.0,3095.0,176.0,1531.0,181.0,1565.0
7,Daman and Diu,97.9,299.0,215.0,260.0,646.0,3100.0,319.0,1540.0,326.0,1560.0
8,Goa,71.2,76.9,55.4,66.9,1105.0,2607.0,781.0,1839.0,325.0,768.0
9,Gujarat,96.4,151.1,108.8,131.5,57047.0,2881.0,36829.0,1860.0,20217.0,1021.0
10,Haryana,97.2,195.7,140.9,170.3,27166.0,2920.0,16361.0,1742.0,10805.0,1178.0
11,Himachal Pradesh,37.6,164.7,118.6,143.3,5315.0,2339.0,2453.0,916.0,2862.0,1423.0
12,Jammu and Kashmir,29.6,299.0,215.0,260.0,11639.0,2725.0,2931.0,546.0,8708.0,2178.0
13,Jharkhand,100.0,258.4,186.0,224.8,37030.0,3180.0,15705.0,1347.0,21325.0,1833.0
14,Karnataka,55.0,146.2,105.3,127.2,52822.0,2662.0,27801.0,1418.0,25021.0,1244.0
15,Kerala,49.0,126.7,91.2,110.2,24777.0,2518.0,13654.0,1369.0,11123.0,1149.0
16,Madhya Pradesh,95.4,237.3,170.8,206.4,76906.0,3136.0,33298.0,1347.0,43608.0,1789.0
17,Maharashtra,81.3,126.7,91.2,110.2,98746.0,2706.0,68251.0,1861.0,30494.0,844.0
18,Manipur,28.7,171.3,123.3,149.0,2653.0,2608.0,839.0,826.0,1814.0,1782.0
19,Meghalaya,45.4,214.5,154.4,186.6,3471.0,2807.0,1240.0,994.0,2232.0,1813.0
20,Mizoram,32.8,121.1,87.2,105.4,1009.0,2200.0,600.0,1301.0,409.0,899.0
21,Nagaland,22.7,175.2,126.2,152.5,1504.0,2558.0,419.0,711.0,1085.0,1847.0
22,NCT of Delhi,104.8,299.0,215.0,260.0,10121.0,3125.0,5127.0,1589.0,4994.0,1536.0
23,Odisha,77.9,286.1,206.0,248.9,43724.0,3199.0,14108.0,1022.0,29616.0,2177.0
24,Puducherry,66.4,299.0,215.0,260.0,572.0,2957.0,245.0,1272.0,327.0,1686.0
25,Punjab,64.1,188.8,135.9,164.2,27216.0,2627.0,17382.0,1687.0,9834.0,940.0
26,Rajasthan,95.4,245.2,176.5,213.3,73572.0,3118.0,33116.0,1394.0,40456.0,1724.0
27,Sikkim,8.8,135.0,97.2,117.4,781.0,1974.0,216.0,507.0,565.0,1466.0
28,Tamil Nadu,45.2,115.5,83.2,100.5,52710.0,2346.0,33761.0,1489.0,18950.0,857.0
29,Telangana,73.6,126.7,91.2,110.2,32381.0,2755.0,19123.0,1621.0,13259.0,1135.0
30,Tripura,33.4,199.0,143.3,173.1,4270.0,2792.0,1172.0,754.0,3099.0,2038.0
31,Uttar Pradesh,87.7,332.0,239.0,288.8,222771.0,3222.0,77890.0,1130.0,144881.0,2092.0
32,Uttarakhand,30.1,299.0,215.0,260.0,9007.0,2593.0,2770.0,681.0,6237.0,1912.0
33,West Bengal,63.4,296.8,213.4,258.1,86912.0,3076.0,28523.0,1044.0,58389.0,2032.0
34,,,,,,,,,,,
35,India,75.4,248.6,178.9,216.2,1189957.0,2889.0,522418.0,1299.0,667539.0,1589.0
