,location,apm25_popweighted,hpm25_female_popweighted,hpm25_male_popweighted,hpm25_child_popweighted,mort_tpm25_6cod_mean_total,dalys_tpm25_rate_6cod_mean_total,mort_apm25_6cod_mean_total,dalys_apm25_rate_6cod_mean_total,mort_hpm25_6cod_mean_total,dalys_hpm25_rate_6cod_mean_total
0,Andaman and Nicobar,24.7,158.5,113.9,137.8,108.0,2399.0,39.0,820.0,70.0,10.0578
1,Andhra Pradesh,52.2,42.4,30.5,36.9,36431.0,2334.0,27113.0,1734.0,90.0318,601.0
2,Arunachal Pradesh,15.1,165.5,119.2,144.0,1250.0,2402.0,284.0,492.0,966.0,10.091
3,Assam,27.4,170.9,123.1,148.7,25831.0,2565.0,7919.0,750.0,170.0912,10.0815
4,Bihar,66.5,413.7,297.9,359.9,121424.0,3372.0,25626.0,739.0,950.0798,20.0633
5,Chhattisgarh,69.2,145.7,104.9,126.7,25354.0,2881.0,11731.0,1335.0,130.0623,10.0547
6,Dadra and Nagar Haveli,92.7,158.5,114.0,137.8,334.0,2915.0,199.0,1737.0,135.0,10.0178
7,Daman and Diu,93.9,158.5,114.0,137.8,605.0,2920.0,362.0,1747.0,243.0,10.0173
8,Goa,68.8,0.0,0.0,0.0,982.0,2312.0,982.0,2312.0,,
9,Gujarat,92.9,63.5,45.7,55.2,53564.0,2723.0,41763.0,2125.0,110.08,598.0
10,Haryana,84.4,3.9,2.8,3.4,22728.0,2453.0,22225.0,2396.0,503.0,56.0
11,Himachal Pradesh,35.3,67.5,48.6,58.7,4722.0,2045.0,2812.0,1054.0,10.091,991.0
12,Jammu and Kashmir,28.8,158.5,113.9,137.8,10512.0,2461.0,3415.0,632.0,70.0096,10.0829
13,Jharkhand,81.1,139.5,100.5,121.4,33730.0,2921.0,17036.0,1476.0,160.0694,10.0445
14,Karnataka,51.7,58.5,42.1,50.9,47680.0,2418.0,32308.0,1652.0,150.0372,766.0
15,Kerala,45.4,62.1,44.7,54.0,22726.0,2311.0,15007.0,1508.0,70.0719,803.0
16,Madhya Pradesh,84.7,175.6,126.4,152.8,73357.0,3003.0,34427.0,1399.0,380.093,10.0604
17,Maharashtra,77.3,76.0,54.7,66.1,94603.0,2593.0,71805.0,1955.0,220.0798,637.0
18,Manipur,27.5,166.1,119.6,144.5,2629.0,2586.0,826.0,812.0,10.0804,10.0774
19,Meghalaya,40.8,178.0,128.2,154.9,3344.0,2710.0,1230.0,987.0,20.0114,10.0723
20,Mizoram,31.1,113.8,82.0,99.0,991.0,2163.0,590.0,1278.0,402.0,885.0
21,Nagaland,21.7,105.1,75.7,91.5,1372.0,2345.0,470.0,800.0,903.0,10.0545
22,NCT of Delhi,89.8,158.5,114.0,137.8,9337.0,2901.0,5503.0,1710.0,30.0834,10.0191
23,Odisha,65.7,194.6,140.1,169.3,40890.0,3013.0,14778.0,1091.0,260.0113,10.0923
24,Puducherry,63.6,158.5,114.0,137.8,530.0,2757.0,277.0,1442.0,252.0,10.0315
25,Punjab,58.8,1.9,1.4,1.6,22783.0,2211.0,22524.0,2187.0,259.0,25.0
26,Rajasthan,88.9,93.2,67.1,81.1,66190.0,2836.0,41774.0,1790.0,240.0417,10.0047
27,Sikkim,8.3,52.6,37.9,45.8,640.0,1602.0,242.0,572.0,398.0,10.003
28,Tamil Nadu,41.5,13.9,10.0,12.1,44998.0,1990.0,40402.0,1782.0,40.0595,208.0
29,Telangana,67.7,76.0,54.7,66.1,30504.0,2604.0,20383.0,1733.0,100.0122,870.0
30,Tripura,31.0,185.1,133.2,161.0,4195.0,2746.0,1145.0,738.0,30.005,20.0008
31,Uttar Pradesh,72.7,185.9,133.9,161.7,203481.0,2966.0,85379.0,1243.0,1180.0102,10.0723
32,Uttarakhand,28.2,158.5,114.0,137.8,8154.0,2353.0,3048.0,749.0,50.0107,10.0604
33,West Bengal,49.6,157.3,113.1,136.8,77947.0,2779.0,30527.0,1107.0,470.042,10.0672
34,,,,,,,,,,,
35,India,66.4,140.8,101.3,122.5,1093926.0,2677.0,584148.0,1466.0,5090.0778,10.021
